843711622917099500, File op A28 Langzaam rijdend tot stilstaand verkeer #A28 #A28_BJB #file #fileleed #verkeer https://t.co/NsIaOY4NUt, 52.26685, 5.53518, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991500964, , , 
843711642269552600, File op A12 Langzaam rijdend tot stilstaand verkeer #A12 #A12_OOS #file #fileleed #verkeer https://t.co/uxiZzZNXrK, 52.01528, 5.64637, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991505578, , , 
843711658379939800, File op A76 Stilstaand verkeer #A76 #A76_TEN #file #fileleed #verkeer https://t.co/YBweN6LQyN, 50.91923, 5.89174, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991509419, , , 
843711713811845100, A1 13111 Rit 33125 Amsterdam Troelstralaan 1067MX 399 https://t.co/9RHffWJPea #p2000, 52.3763993, 4.8022643, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489991522635, , , 
843712850782830600, File op N35 Langzaam rijdend tot stilstaand verkeer #N35 #N35_HEI #file #fileleed #verkeer https://t.co/JJGRiezqr8, 52.46165, 6.20883, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991793710, , , 
843712867333476400, File op A15 Stilstaand verkeer #A15 #A15_IJS #file #fileleed #verkeer https://t.co/JSMUhyrExd, 51.86592, 4.5478, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991797656, , , 
843712886883127300, File op A15 Stilstaand verkeer #A15 #A15_BEM #file #fileleed #verkeer https://t.co/250xPNGFYo, 51.90128, 5.91083, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991802317, , , 
843712903974928400, File op A29 Stilstaand verkeer #A29 #A29_WNR #file #fileleed #verkeer https://t.co/XESsbwNRYA, 51.77161, 4.42207, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991806392, , , 
843712919548366800, File op N282 Stilstaand verkeer #N282 #N282_GIL #file #fileleed #verkeer https://t.co/EuPL4RQcIt, 51.56925, 4.9689, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991810105, , , 
843712937604894700, File op A12 Stilstaand verkeer #A12 #A12_JNI #file #fileleed #verkeer https://t.co/tsdvEBHRfy, 52.02231, 5.7968, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991814410, , , 
843712939794210800, Trend Alert: 'Heerenveen'. More trends at https://t.co/tOVVBU3TJP #trndnl https://t.co/NjbK8khj8U, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489991814932, , , 
843712953966886900, File op N214 Stilstaand verkeer #N214 #N214_LRW #file #fileleed #verkeer https://t.co/mt0gGMPnMI, 51.86912, 4.85646, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991818311, , , 
843712972165959700, File op A12 Stilstaand verkeer #A12 #A12_LLR #file #fileleed #verkeer https://t.co/9Q7gv6XVkM, 52.01992, 4.6321, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991822650, , , 
843712989358428200, File op N36 Stilstaand verkeer #N36 #N36_IKD #file #fileleed #verkeer https://t.co/iA5l2P6B8X, 52.41426, 6.63435, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991826749, , , 
843713007901462500, File op A1 Stilstaand verkeer #A1 #A1_TPQ #file #fileleed #verkeer https://t.co/aOaUTbv0dr, 52.26268, 5.20871, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991831170, , , 
843713025379090400, File op A50 Stilstaand verkeer #A50 #A50_NRG #file #fileleed #verkeer https://t.co/YeD2ymeQnd, 51.73602, 5.5791, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991835337, , , 
843713042097602600, File op A73 Stilstaand verkeer #A73 #A73_PZJ #file #fileleed #verkeer https://t.co/8lAHmNjDmF, 51.7167, 5.86977, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991839323, , , 
843713706718453800, ⒈ Bijna 90
⒉ Politie Rotterdam
⒊ Chuck Berry
⒋ #gaepec
⒌ #azado

2017/3/20 07:32 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489991997781, , , 
843713707897053200, ⒍ Heerenveen
⒎ #boerzoektvrouw
⒏ De Ligt
⒐ Herman
⒑ #miljoenenjacht

2017/3/20 07:32 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489991998062, 843713706718453800, 1166383453, trendinaliaNL
843714117076762600, File op A27 Langzaam rijdend tot stilstaand verkeer #A27 #A27_PHT #file #fileleed #verkeer https://t.co/clXRkJlqgU, 51.70068, 4.88805, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992095618, , , 
843714132008407000, File op N36 Stilstaand verkeer #N36 #N36_DED #file #fileleed #verkeer https://t.co/FXD3dBi6hN, 52.54929, 6.42292, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992099178, , , 
843714150148833300, File op A50 Stilstaand verkeer #A50 #A50_NIS #file #fileleed #verkeer https://t.co/3QbgKVG0mC, 51.68473, 5.58961, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992103503, , , 
843714851621011500, A1 13160 Rit 33127 Amsterdam Stn Amsterdam Sloterdijk Spoor 7 (Sj) https://t.co/gvZaqyQUxC #p2000, 52.3738007, 4.8909347, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489992270747, , , 
843715092839612400, We hebben er niet zo'n zin in.... Óók vertraging😦 (@ Station Hoofddorp) https://t.co/lqNJZwB4Qd https://t.co/CEGPeRXrbp, 52.29300811, 4.69914436, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489992328258, , , 
843716331350442000, Een stuk minder mooi zonder zon (@ Spoor 1 in Hoofddorp) https://t.co/nr29pSv5b1 https://t.co/4DJnDUwr7T, 52.29305722, 4.69859165, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489992623542, , , 
843716653699530800, File op N35 Stilstaand verkeer #N35 #N35_ENS #file #fileleed #verkeer https://t.co/AW6E0qqnNR, 52.2008, 6.9009, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992700396, , , 
843716670883618800, File op N301 Langzaam rijdend tot stilstaand verkeer #N301 #N301_ALM #file #fileleed #verkeer https://t.co/0hx7vpCK0X, 52.3197, 5.43503, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992704493, , , 
843716689523081200, File op A50 Langzaam rijdend tot stilstaand verkeer #A50 #A50_DSQ #file #fileleed #verkeer https://t.co/wWWkASsjSK, 51.86395, 5.71824, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992708937, , , 
843716709123002400, File op N206 Stilstaand verkeer #N206 #N206_A44 #file #fileleed #verkeer https://t.co/bIbPe7T6gj, 52.14185, 4.4769, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992713610, , , 
843716725044666400, File op A73 Stilstaand verkeer #A73 #A73_RIJ #file #fileleed #verkeer https://t.co/6otB1LGNVy, 51.68104, 5.89385, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992717406, , , 
843716729998065700, A2 13121 Rit 33130 Amsterdam Schoenerstraat 1034XZ 11 Eduard Douwes Dekkerhuis https://t.co/td0nFMZjDK #p2000, 52.4047258, 4.9076511, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489992718587, , , 
843716744334250000, File op A28 Langzaam rijdend tot stilstaand verkeer #A28 #A28_JQW #file #fileleed #verkeer https://t.co/Em83y0ejzf, 52.30981, 5.56092, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992722005, , , 
843716763565133800, File op A27 Stilstaand verkeer #A27 #A27_GOR #file #fileleed #verkeer https://t.co/8cWr7ubT6o, 51.85954, 4.95703, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992726590, , , 
843716783941075000, File op A20 Stilstaand verkeer #A20 #A20_ILH #file #fileleed #verkeer https://t.co/apOnX6oNDT, 51.92145, 4.29281, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992731448, , , 
843716787917209600, #NIEUW-VENNEP #KEN | Ongeval Letsel IJweg th 1336 Buitenleven Nieuw-Vennep / aanrijding scooter/fietser | https://t.co/Tf3GdBguMC, 52.269015, 4.600505, <a href="http://112alarm.net" rel="nofollow">112alarm.net</a>, 19140633, nl, 1489992732396, , , 
843716804182757400, File op A29 Stilstaand verkeer #A29 #A29_GDJ #file #fileleed #verkeer https://t.co/GEGQNpAKlU, 51.74976, 4.41515, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992736274, , , 
843716823405252600, File op A4 Stilstaand verkeer #A4 #A4_LGS #file #fileleed #verkeer https://t.co/PNEFszBCos, 51.97859, 4.33346, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992740857, , , 
843716843558895600, File op A15 Langzaam rijdend tot stilstaand verkeer #A15 #A15_QJM #file #fileleed #verkeer https://t.co/QXDcUuR6B0, 51.8664, 4.44767, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992745662, , , 
843716861363703800, File op A29 Zware regenval #A29 #A29_SQH #file #fileleed #verkeer https://t.co/JHClfleSha, 51.67595, 4.42421, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992749907, , , 
843716882524004400, File op A20 Langzaam rijdend tot stilstaand verkeer #A20 #A20_SRS #file #fileleed #verkeer https://t.co/EmT89DOvmL, 51.97205, 4.6024, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992754952, , , 
843716902996361200, File op A73 Stilstaand verkeer #A73 #A73_BPR #file #fileleed #verkeer https://t.co/Ay02AwGrij, 51.69815, 5.88343, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992759833, , , 
843716920029405200, File op A2 Stilstaand verkeer #A2 #A2_QHN #file #fileleed #verkeer https://t.co/fIiWjn3c5w, 51.71661, 5.33753, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489992763894, , , 
843718048586567700, #Milan (@ Amsterdam Airport @Schiphol in Schiphol, Noord-Holland) https://t.co/R0NrIGQ2N9, 52.30967516, 4.76297052, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 14875244, nl, 1489993032963, , , 
843718281865416700, De #julianabrug in #zaandam #zaandijk ging open om 07:56 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1489993088581, , , 
843718741334483000, ⒈ Politie Rotterdam
⒉ Bijna 90
⒊ Chuck Berry
⒋ #gaepec
⒌ #azado

2017/3/20 07:52 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489993198127, , , 
843718742752206800, ⒍ Heerenveen
⒎ #boerzoektvrouw
⒏ De Ligt
⒐ Herman
⒑ #miljoenenjacht

2017/3/20 07:52 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489993198465, 843718741334483000, 1166383453, trendinaliaNL
843718763669348400, #alarm Ongeval Letsel IJweg th 1336 Buitenleven Nieuw-Vennep / aanrijding scooter/fietser - IJweg 1553, 2152 ND Nieuw-Vennep, Netherlands, 52.2769114, 4.6116789, <a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>, 224671737, nl, 1489993203452, , , 
843719045660655600, A1 13110 Rit 33131 Amsterdam Derkinderenstraat Jan Voermanstraat https://t.co/QumOgu8lqS #p2000, 52.3648955, 4.8410019, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489993270684, , , 
843719110034935800, Prio: 1 Letsel Derkinderenstraat Amsterdam https://t.co/v9gZqAevJe #p2000, 52.3648955, 4.8410019, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489993286032, , , 
843719118192853000, #AMSTERDAM #AML | Prio: 1 Letsel Derkinderenstraat Amsterdam | https://t.co/3HY2vUL5eX, 52.368553, 4.840257, <a href="http://112alarm.net" rel="nofollow">112alarm.net</a>, 19140633, nl, 1489993287977, , , 
843719263903010800, B1 13189 Rit 33135 Amsterdam Jan Tooropstraat 1061AE 164 OLVGW B3 cardiologie https://t.co/rcnfWAf4b8 #p2000, 52.3703613, 4.8395754, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489993322717, , , 
843719795530981400, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1489993449467, 843718281865416700, 3375579785, OpenBrug
843720292190978000, Ontbijt start bij mij met fruit en gemberthee🍴#ontbijt #gember #fruit #maandag #gezond… https://t.co/Bhy80jdtT5, 52.34528056, 4.89757222, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 550822765, nl, 1489993567880, , , 
843720440665309200, File op S100 Langzaam rijdend tot stilstaand verkeer #S100 #S100_MAR #file #fileleed #verkeer https://t.co/FUVwO4FLsC, 51.86566, 5.85625, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993603279, , , 
843720456620445700, File op A50 Stilstaand verkeer #A50 #A50_ARN #file #fileleed #verkeer https://t.co/tEkeuITzyd, 52.017, 5.9189, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993607083, , , 
843720472718204900, File op A15 Stilstaand verkeer #A15 #A15_GGQ #file #fileleed #verkeer https://t.co/aG7hLdZvHA, 51.91942, 5.54964, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993610921, , , 
843720494075527200, File op A2 Stilstaand verkeer #A2 #A2_WIL #file #fileleed #verkeer https://t.co/mQy44D1Stz, 51.29462, 5.63412, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993616013, , , 
843720510374600700, File op A50 Stilstaand verkeer #A50 #A50_ZNN #file #fileleed #verkeer https://t.co/5v0RWmvPvL, 52.3877, 6.01552, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993619899, , , 
843720527533498400, File op A15 Stilstaand verkeer #A15 #A15_ZPZ #file #fileleed #verkeer https://t.co/6hdYCRWp0Q, 51.84652, 4.9624, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993623990, , , 
843720551004848100, File op A27 Langzaam rijdend tot stilstaand verkeer #A27 #A27_LNZ #file #fileleed #verkeer https://t.co/xs3N0uHdg4, 51.72488, 4.89328, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993629586, , , 
843720567538761700, File op A1 Stilstaand verkeer #A1 #A1_IJD #file #fileleed #verkeer https://t.co/HRM6YkF2kY, 52.24544, 6.34758, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993633528, , , 
843720584987099100, File op A50 Stilstaand verkeer #A50 #A50_GGP #file #fileleed #verkeer https://t.co/ojFRGUuYRj, 52.37005, 6.02419, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993637688, , , 
843720604805226500, File op A35 Langzaam rijdend tot stilstaand verkeer #A35 #A35_JKZ #file #fileleed #verkeer https://t.co/wwYJPmnOQF, 52.32377, 6.64728, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993642413, , , 
843720620072468500, File op A1 Stilstaand verkeer #A1 #A1_MIJ #file #fileleed #verkeer https://t.co/r7FqG5KsEr, 52.24309, 6.32151, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993646053, , , 
843720638904913900, File op A9 Langzaam rijdend tot stilstaand verkeer #A9 #A9_MLI #file #fileleed #verkeer https://t.co/Ld8ZhSi5tU, 52.32372, 4.80366, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993650543, , , 
843720656915185700, File op N281 Stilstaand verkeer #N281 #N281_GWQ #file #fileleed #verkeer https://t.co/cI8Q79DSjM, 50.89661, 5.94645, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993654837, , , 
843720673285541900, File op A28 Stilstaand verkeer #A28 #A28_BWB #file #fileleed #verkeer https://t.co/WWjruv9T32, 52.29715, 5.55288, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993658740, , , 
843720687877587000, File op A58 Stilstaand verkeer #A58 #A58_HHJ #file #fileleed #verkeer https://t.co/3CciW8GeZP, 51.49309, 5.31982, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489993662219, , , 
843721236211535900, A1 13105 Rit 33144 Amsterdam Riouwstraat 1094XB 1 F https://t.co/w8nJ7PGhLE #p2000, 52.3620766, 4.9360603, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489993792952, , , 
843722081460281300, I'm at Albert Heijn - @ahvinkeveen in Vinkeveen, Utrecht https://t.co/iZG789yhX6, 52.21567961, 4.9350071, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 106825233, nl, 1489993994475, , , 
843722556460941300, Gelukkig, het weekend zit er weer op. Knallen maar weer deze week 💪 (@ drukkerij Riezebos in De Lier, Nederland) https://t.co/j7IqKYCfL4, 51.975271, 4.249193, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 133804622, nl, 1489994107724, , , 
843722820081410000, B1 13406 Rit 33146 Amsterdam Duivendrechtsekade 1096AH 55 Inforsa Psychiatrische Kliniek https://t.co/U221vyJ67d #p2000, 52.3377115, 4.9321891, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489994170576, , , 
843723460778082300, 🇳🇱 -&gt; 🇳🇴 (@ Amsterdam Airport @Schiphol in Schiphol, Noord-Holland) https://t.co/PR8OTD4xlS, 52.30967516, 4.76297052, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 23112137, nl, 1489994323330, , , 
843723774239289300, ⒍ Feyenoord
⒎ #gaepec
⒏ #boerzoektvrouw
⒐ De Ligt
⒑ Herman

2017/3/20 08:17 CET #trndnl https://t.co/tOVVBU3TJP, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489994398065, 843723773022937100, 1166383453, trendinaliaNL
843723812789272600, #ICDirect 909 (V 8:37 van Amsterdam Airport) naar Amsterdam Centraal is 7 minuten vertraagd., 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1489994407256, , , 
843724216629366800, File op N276 Stilstaand verkeer #N276 #N276_BRU #file #fileleed #verkeer https://t.co/Ogibds1emy, 50.94937, 5.9424, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489994503539, , , 
843724237017944000, File op A73 Stilstaand verkeer #A73 #A73_INW #file #fileleed #verkeer https://t.co/u5cvC8cocC, 51.68104, 5.89385, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489994508400, , , 
843724254201962500, File op A18 Stilstaand verkeer #A18 #A18_JZN #file #fileleed #verkeer https://t.co/kf8kItSdWF, 51.92717, 6.15856, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489994512497, , , 
